B1;R1;R2;R3;R4;R5;R6;R7;R9;R10;R11;R12;R13;R14;W1;W2;W3;W4;W6;W7;W8;W9;W10;W12
месяц;файл;новые;в 02 году;замену сервера;наших клиентов ;передать;придется отложить;картинки;завтра;запросы;через две недели;на 31 число;;чтобы избежать ошибок;нет времени;нашему клиенту;стандартной процедурой;тебе придется;обсудим;нужны данные ;финансовому директору;принять меры;прикидывается “на глазок”
мешают работать;я;обновления в бюджете;в обороте;и;нашу розничную сеть ;подготовить;продолжай;копий;запросы;ИТ подразделение;что;необходимо ;;шли мне до отправки;нужно;наших клиентов;так как;через две недели;планирую встретиться;нужны уточнения;это безобразие;проводим ремонт;прошу вас
на завтра;;обновленную версию;в прибыли;имеющийся сервер;не ;подготовь;расскажу;Марина;к этому разговору;к этому разговору;я;ниже;;я буду в отпуске;откладывая;нашу розничную сеть;Трутнев ;я ;предполагает ;официальный запрос;;прошу;серьезные компании
назначим процедуру;;обороте и прибыли;динамика затрат;исчерпана ;не позднее ;пользуйся;сделаю сам;молодец;какая информация;когда;;нужны;;;передать;не;чтобы избежать ошибок;;с нашими клиентами;по вашему запросу;;снова неисправность;схеме бюджетирования
нашу встречу;;объеме затрат;доля затрат;ИТ подразделения;нужна помощь;потому;спасибо;не доволен;каком виде;куда;;октябрь;;;подготовить;не позднее;шли мне до отправки;;свое мнение;постановки задачи;;срочно;так
не буду;;окончательной версией;доля производственных затрат;к сожалению;отгрузки;приложенной формой ;структура;не смогла;когда;многих клиентов;;перешли ;;;подготовь;нужна помощь;я буду в отпуске;;сегодня;предоставлены;;через;текущий процесс бюджетирования
не было индексации последние два года;;пересылаю;о доле;компании;отправь данные ;прошлом году;хорошая;несколько;много работы;много работы;;письмо ;;;пользуйся;отгрузки;;;Семен;работать не возможно;;электричества;фикция
не вмешиваться в вопросы вне вашей компетенции;;поэтому;о производственной себестоимости;компания останется без информации;подготовь;прошу тебя;;очень;мы только начали;мы не занимаемся;;подготовить данные ;;;помоги;отправь данные;;;тебя в проекте нет;уточняйте ;;;финансовому директору
не могу;;предыдущий файл;об обороте компании;которым  ;продаж;сделай срочно;;переделать;надеюсь на;надеюсь на;;понедельник;;;потому;подготовь;;;я ;;;;я 
не работают батареи;;производственные затраты;от бюджета к бюджету;купить;с копией;сегодня;;полностью;не позволяет;не наш вопрос;;приступай;;;приложенной формой;продаж;;;;;;;
не стану;;производственный отдел;от года к году;модели EX5;сегодня;Сергей,;;презентацию;нужна раньше;необходимы;;прошлого года ;;;прошу тебя;с копией;;;;;;;
неделю;;производственным отделом;планируется;на;следующие данные;тебя;;просит;организую встречу;организую встречу;;с января по октябрь ;;;сделай срочно;сегодня;;;;;;;
новый компьютер;;производственных затрат;по вашему запросу;на приобретение сервера;срочно;требованиями;;просит;осознает;осознает;;сделай ;;;сегодня;следующие данные;;;;;;;
обращаю ваше внимание, на то что;;произошел;прирост;начальника аналитического отдела;суммарный объем ;ты сам ее и делал;;прошу тебя;от ваших подразделений;от нескольких клиентов ;;сделать отчет по складу;;;тебя;срочно;;;;;;;
отвечать;;прошу;производственные затраты;не;цифры;у;;распечатать;отвлекаете по пустякам;отвлекаете по пустякам;;сегодня;;;требованиями;суммарный объем;;;;;;;
отвечу;;ряд изменений;производственных затрат;не предусмотрено;читай письмо ниже;форма приложена;;расстроен;отдел анализа и планирования;отдел анализа и планирования;;Сергей;;;Трутнев;цифры;;;;;;;
отдел  кадров;;сводного бюджета;Раиса Романовна;не прошел;;эти данные;;сказал;отлично;отлично;;срочно;;;у;читай письмо ниже;;;;;;;
отдел персонала;;связаны с;сокращение;нет;;;;сорок;отчеты бесполезны;очень заняты;;Точных;;;форма приложена;;;;;;;;
отдела логистики;;сократилась прибыль;составит;от;;;;спасибо;очень заняты;передать этот вопрос;;уточни у него;;;эти данные;;;;;;;;
отдел производства;;срывом сроков;составляет;отдела;;;;тридцать шесть;подготовьте;полезную информацию;;это задание ;;;;;;;;;;;
отдел продаж;;считать;таким образом;положительное решение;;;;ты;пожалуйста;потребность в новом виде прайса ;;этого года;;;;;;;;;;;
отменить;;только сегодня;;пользуется;;;;упакует в коробки;полезную информацию;предлагаю ;;этого месяца;;;;;;;;;;;
перенести;;увеличилась доля ;;принять   ;;;;упакуй в коробки;потребность в ускорении отчетности ;приглашу;;;;;;;;;;;;;
перешлю;;удалить;;прошу вас;;;;участников;предлагаю ;уважаемая;;;;;;;;;;;;;
по вашему запросу;;файл во вложении;;работает;;;;что;предоставлять отчетность быстрее;через пару недель;;;;;;;;;;;;;
по причине занятости сводным бюджетом;;хочется обратить ваше внимание;;размещения всего объема информации;;;;я;текущая система сбора информации  ;я;;;;;;;;;;;;;
повысить зарплату моему отделу;;что;;разрешить;;;;;уважаемая;;;;;;;;;;;;;;
подтвердить;;это;;с перебоями;;;;;через пару недель;;;;;;;;;;;;;;
подтверждаю;;;;с уважением;;;;;;;;;;;;;;;;;;;
пожалуйста;;;;серверах;;;;;я;;;;;;;;;;;;;;
после отпуска;;;;силами ИТ подразделения компании;;;;;;;;;;;;;;;;;;;
пошли на обед;;;;ситуацией;;;;;;;;;;;;;;;;;;;
предлагаю;;;;ситуацию;;;;;;;;;;;;;;;;;;;
предоставлю инфомацию;;;;сломается;;;;;;;;;;;;;;;;;;;
принято;;;;служебная записка;;;;;;;;;;;;;;;;;;;
прислать бюджет;;;;срочном порядке;;;;;;;;;;;;;;;;;;;
прислать информацию;;;;статья 108 «Незапланированные расходы»;;;;;;;;;;;;;;;;;;;
прошу вас;;;;сумму ХХ тыс.;;;;;;;;;;;;;;;;;;;
прошу принять меры;;;;считать;;;;;;;;;;;;;;;;;;;
прошу прощения;;;;тест на возможное восстановление;;;;;;;;;;;;;;;;;;;
разрешить мне уйти раньше по семейным обстоятельствам;;;;Федоров;;;;;;;;;;;;;;;;;;;
регламентировали свою деятельность;;;;Федорова А.;;;;;;;;;;;;;;;;;;;
сделайте;;;;финансовому директору;;;;;;;;;;;;;;;;;;;
сделаю;;;;форс-мажорной;;;;;;;;;;;;;;;;;;;
спасибо;;;;я;;;;;;;;;;;;;;;;;;;
срочно;;;;;;;;;;;;;;;;;;;;;;;
у меня нет сегодня времени;;;;;;;;;;;;;;;;;;;;;;;
хорошо;;;;;;;;;;;;;;;;;;;;;;;
через;;;;;;;;;;;;;;;;;;;;;;;
две недели;;;;;;;;;;;;;;;;;;;;;;;
