;;;;;;;;;;;;;;;;;;;;;;;Цели и приоритеты;;Планирует в течение дня;;;;;;;;Правильно определяет категорию Не фиксированных по времени задач при планировании;;;;;;;Правильно учитывает категорию фиксированной по времени задачи при планировании (встречи, совещания);;;Выполнять НЕ фиксированные по времени задачи  с учетом их категорий;;;;;;;;Выполнять фиксированные по времени задачи  с учетом их категорий;;;;Следует плану при выполнении задач;Завершает выполнение задачи (держит приоритет);;;;Исходя из цели (задачи) коммуникации выбирать наилучший способ (канал) коммуникации;;;;;;;Управлять количеством и периодами временем, затраченными на почту;;;Эффективно обрабатывать входящие письма;;;;;;Создавать сообщения, информативные и экономные для себя, коллег и партнеров;;;;Управлять количеством и периодами времени, затраченного на звонки;;Правильно принимать входящие звонки;;;Эффективно обрабатывать входящие звонки;;Управлять количеством и периодами времени, затраченного на встречи;;;Правильно принимать посетителей;;;Эффективно обрабатывать результаты встречи;;;Управлять количеством и периодами времени, затраченного на IM;;;;;Эффективно обрабатывать сообщения IM;;;Использовать делегирование как инструмент управления своим временем и объемом выполненных задач;;;;;;;Правильно управляет ресурсами различной квалификации;;Использует обратную связь как инструмент мотивации и обучения сотрудников;;;Делегировать сотруднику, наиболее подходящему для выполнения задачи;;Легко включается в работу из стрессовой ситуации ;;Следует приоритетам при статусном и эмоциональном воздействии;;;Внимательность и концентрация;Ответственность;;;Принимает решения;;;Скорость принятия решений;Обоснованность принимаемых решений;;;Результатоориентированность;;;;;
10;10;E1;ТЕЛЕФОННЫЙ РАЗГОВОР С ФИНДИРЕКТОРОМ ПО СБ.;;;1;уравновешенное;2;в гневе;2;1;- Я пока не знаю, сколько времени мне потребуется. Но точно смогу проверить все цифры к вечеру.;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;0;;;;dialog;да
11;11;E1;ТЕЛЕФОННЫЙ РАЗГОВОР С ФИНДИРЕКТОРОМ ПО СБ.;;;1;уравновешенное;2;в гневе;2;2;- Хорошо, за три часа управлюсь. ;да;D1;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;1;;;1;;;;1;;;1;;;;dialog;да
12;12;E1;ТЕЛЕФОННЫЙ РАЗГОВОР С ФИНДИРЕКТОРОМ ПО СБ.;;;1;уравновешенное;2;в гневе;2;3;- Ну, с помощью Крутько я должен управиться в эти сроки. ;да;E1.2;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;0;;;0;;;;dialog;да
13;13;E1;ТЕЛЕФОННЫЙ РАЗГОВОР С ФИНДИРЕКТОРОМ ПО СБ.;;;2;в гневе;1;уравновешенное;3;0;- К вечеру? Ты что, шутишь? Да мы целых три недели этим бюджетом занимаемся! По регламенту он уже должен быть у Генерального директора. Может, ты сам ему объяснишь, ЧТО ИМЕННО мешает тебе работать по регламенту? Жду файл через три часа – и точка!;нет;-;E1_3.wav;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E1_3.wav;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
14;14;E1;ТЕЛЕФОННЫЙ РАЗГОВОР С ФИНДИРЕКТОРОМ ПО СБ.;;;1;уравновешенное;2;в гневе;3;1;- Понял, открываю файл. ;да;D1;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;dialog;да
15;15;E1;ТЕЛЕФОННЫЙ РАЗГОВОР С ФИНДИРЕКТОРОМ ПО СБ.;;;1;уравновешенное;2;в гневе;3;2;- Понял, уже зову Крутько. ;да;E1.2;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
16;16;S1.1;Повторный звонок ФД по сводному бюджету через 5 мин. Входящий;;5;2;-;1;-;1;0;звук телефонного звонка;нет;-;-;#N/A;;Звонок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
17;17;S1.1;Повторный звонок ФД по сводному бюджету через 5 мин. Входящий;;;1;-;2;-;1;1;ответить;да;E1;-;#N/A;;Звонок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;icon;да
18;18;S1.1;Повторный звонок ФД по сводному бюджету через 5 мин. Входящий;;;1;-;2;-;1;2;не ответить;да;S1.2;-;#N/A;;Звонок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;icon;да
19;19;S1.2;ВИЗИТ РАЗГНЕВАННОГО ФД К ГЕРОЮ ПО ПОВОДУ СБ.;;10;2;в гневе;1;уравновешенное;1;0;- Мне что, учить тебя элементарным правилам делового общения? Ты почему на мои звонки не отвечаешь?  Я тебе все утро трезвоню!;нет;-;S1_2_1_Камера.webm;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\S1.2_1.wav;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
20;20;S1.2;ВИЗИТ РАЗГНЕВАННОГО ФД К ГЕРОЮ ПО ПОВОДУ СБ.;;;1;уравновешенное;2;в гневе;1;1;- Раиса Романовна, извините, но у меня на телефоне номер почему-то не определяется. ;нет;-;S1_2_1_Камера.png;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
21;21;S1.2;ВИЗИТ РАЗГНЕВАННОГО ФД К ГЕРОЮ ПО ПОВОДУ СБ.;;;1;уравновешенное;2;в гневе;1;2;- Ох, Раиса Романовна, у меня сегодня вообще день не задался: с утра проколол колесо, а дальше так завертелся… Ну все, принимаюсь за работу…;нет;-;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
22;22;S1.2;ВИЗИТ РАЗГНЕВАННОГО ФД К ГЕРОЮ ПО ПОВОДУ СБ.;;;1;уравновешенное;2;в гневе;1;3;- Раиса Романовна, я же не знал, что это вы звоните! Я просто не хотел, чтобы меня  отвлекали.;нет;-;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
23;23;S1.2;ВИЗИТ РАЗГНЕВАННОГО ФД К ГЕРОЮ ПО ПОВОДУ СБ.;;;1;уравновешенное;2;в гневе;1;4;- Раиса Романовна, кофе хотите?;нет;-;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
24;24;S1.2;ВИЗИТ РАЗГНЕВАННОГО ФД К ГЕРОЮ ПО ПОВОДУ СБ.;;;2;в гневе;1;уравновешенное;2;0;"- А зачем ты мне это говоришь? Рассчитываешь на мое понимание?!Да ты уже на два дня бюджет задержал! Какое уж тут понимание! 
Чтобы через два часа бюджет был у меня!  И ни секундой позже! 
Ты что, хочешь, чтобы я по твоей милости работы лишилась?!  Учти, тебя я уволить все равно успею! ";нет;-;S1_2_2_f_Камера.webm;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\S1.2_2.wav;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
25;25;S1.2;ВИЗИТ РАЗГНЕВАННОГО ФД К ГЕРОЮ ПО ПОВОДУ СБ.;;;1;уравновешенное;2;в гневе;2;1;- А я и сам мечтаю уволиться! Вот только отпуск отгуляю… Да не волнуйтесь вы так, сдам я ваш бюджет. ;да;D1;S1_2_2_f_Камера.png;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;0;;;;;;;;;;0;;;dialog;да
26;26;S1.2;ВИЗИТ РАЗГНЕВАННОГО ФД К ГЕРОЮ ПО ПОВОДУ СБ.;;;1;уравновешенное;2;в гневе;2;2;- Не беспокойтесь, Раиса Романовна, бюджет будет у вас через два часа. ;да;D1;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;1;;;dialog;да
27;27;S1.2;ВИЗИТ РАЗГНЕВАННОГО ФД К ГЕРОЮ ПО ПОВОДУ СБ.;;;1;уравновешенное;2;в гневе;2;3;- А в чем я, собственно говоря, виноват? Что работаю и не отвлекаюсь на звонки?;нет;-;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;;dialog;да
28;28;S1.2;ВИЗИТ РАЗГНЕВАННОГО ФД К ГЕРОЮ ПО ПОВОДУ СБ.;;;2;в гневе;1;уравновешенное;3;0;- В чем виноват? Да ты вообще что-нибудь соображаешь? Задержал бюджет – это раз, у нас запарка, а ты на работу опаздываешь – это два, а три - игнорируешь звонки от руководства! Для увольнения и этого хватит, или мне продолжить?  ;нет;-;S1_2_3e_Камера.webm;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\S1.2_3.wav;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
29;29;S1.2;ВИЗИТ РАЗГНЕВАННОГО ФД К ГЕРОЮ ПО ПОВОДУ СБ.;;;1;уравновешенное;2;в гневе;3;1;-          А я вам бюджет сегодня сдам и буду чист перед КЗОТом.;да;D1;S1_2_3e_Камера.png;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;dialog;да
30;30;S1.2;ВИЗИТ РАЗГНЕВАННОГО ФД К ГЕРОЮ ПО ПОВОДУ СБ.;;;1;уравновешенное;2;в гневе;3;2;-          Хорошо, понял, что не прав, приступаю к бюджету.;да;D1;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;dialog;да
31;31;E1.2;ВСТРЕЧА С АНАЛИТИКОМ 2 ПО CБ;;;1;уравновешенное;4;уравновешенное;1;1;-          Марина, есть срочная работа.;нет;-;E1_2_2_Камера.png;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
32;32;E1.2;ВСТРЕЧА С АНАЛИТИКОМ 2 ПО CБ;;;1;уравновешенное;4;уравновешенное;1;2;- Марина, бросай все свои дела. У нас два часа на то, чтобы изменить ситуацию.;нет;-;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
33;33;E1.2;ВСТРЕЧА С АНАЛИТИКОМ 2 ПО CБ;;;1;уравновешенное;4;уравновешенное;1;3;-          Марина, мне срочно необходима твоя помощь.;нет;-;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
34;34;E1.2;ВСТРЕЧА С АНАЛИТИКОМ 2 ПО CБ;;;4;взволнованно;1;уравновешенное;2;0;- Но у меня же еще полно работы по презентации Босса! Я не могу, никак не могу. Я вообще тогда ничего не успею.;нет;-;E1_2_2_Камера.webm;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E1.2_2.wav;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
35;35;E1.2;ВСТРЕЧА С АНАЛИТИКОМ 2 ПО CБ;;;1;уравновешенное;4;уравновешенное;2;1;- Закончила? Теперь слушай сюда. Если мы не сдадим бюджет Денежной через два часа, она нас обоих уволит. Пересылаю тебе файл, приступай немедленно. ;да;MS21;E1_2_2_Камера.png;#N/A;MS21 - отправляется фантастическим образом;Встреча;F3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;1;;;;;0;;0;;0;;dialog;да
36;36;E1.2;ВСТРЕЧА С АНАЛИТИКОМ 2 ПО CБ;;;1;уравновешенное;4;уравновешенное;2;2;- Ну ладно, придется делать самому. Ты иди, иди, время не ждет. ;да;D1;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;1;;1;;dialog;да
37;37;E1.2;ВСТРЕЧА С АНАЛИТИКОМ 2 ПО CБ;;;1;уравновешенное;4;уравновешенное;2;3;- А мне что делать? А ты не можешь пока отложить презентацию? Через пару часиков снова ею займешься.;нет;-;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;0;;0;;dialog;да
38;38;E1.2;ВСТРЕЧА С АНАЛИТИКОМ 2 ПО CБ;;;4;взволнованно;1;уравновешенное;3;0;- Вы что, не помните как в прошлом году Босс кричал? Да если мы малейшую ошибку допустим, неприятностей будет намного больше! Он ведь, прежде всего, с Вас спросит, если я не успею.;нет;-;E1_2_3_b_Камера.webm;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E1.2_3.wav;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
39;39;E1.2;ВСТРЕЧА С АНАЛИТИКОМ 2 ПО CБ;;;1;уравновешенное;4;уравновешенное;3;1;- Пусть спрашивает. Пересылаю файл по бюджету, давай-ка, приступай. Если будут вопросы, заходи. ;да;MS21;E1_2_3_b_Камера.png;#N/A;MS21 - отправляется фантастическим образом;Встреча;F3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;dialog;да
40;40;E1.2;ВСТРЕЧА С АНАЛИТИКОМ 2 ПО CБ;;;1;уравновешенное;4;уравновешенное;3;2;- Да уж, ситуация... Значит так, быстренько зови сюда Трутнева, попробую его подключить. ;да;E1.3;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;dialog;да
41;41;E1.2;ВСТРЕЧА С АНАЛИТИКОМ 2 ПО CБ;;;1;уравновешенное;4;уравновешенное;3;3;- Ты же у нас такая талантливая и умная! Вон, сколько раз выручала! Давай напряжемся, тогда и то, и другое сделать успеем.;нет;-;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;dialog;да
42;42;E1.2;ВСТРЕЧА С АНАЛИТИКОМ 2 ПО CБ;;;4;упрямо;1;уравновешенное;4;0;- Не успеем. Я не могу работать кое-как. И не могу выполнять сразу две задачи.;нет;-;E1_2_4_b_Камера.webm;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E1.2_4.wav;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
43;43;E1.2;ВСТРЕЧА С АНАЛИТИКОМ 2 ПО CБ;;;1;уравновешенное;4;уравновешенное;4;1;- Ладно. Зови Трутнева. Будем с ним бюджетировать. ;да;E1.3;E1_2_4_b_Камера.png;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;dialog;да
44;44;E1.2;ВСТРЕЧА С АНАЛИТИКОМ 2 ПО CБ;;;1;уравновешенное;4;уравновешенное;4;2;- Выходит, придется все делать самому… Ладно. Спасибо. Иди. ;да;D1;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
