;;;;;;;;;;;;;;;;;Цели и приоритеты;;Планирует в течение дня;;;;;;;;Правильно определяет категорию Не фиксированных по времени задач при планировании;;;;;;;Правильно учитывает категорию фиксированной по времени задачи при планировании (встречи, совещания);;;;Выполнять НЕ фиксированные по времени задачи  с учетом их категорий;;;;;;;;Выполнять фиксированные по времени задачи  с учетом их категорий;;;;;Завершает выполнение задачи (держит приоритет);;;;Исходя из цели (задачи) коммуникации выбирать наилучший способ (канал) коммуникации;;;;;;;;;;Управлять количеством и периодами временем, затраченными на почту;;;;;Эффективно обрабатывать входящие письма;;;;;Создавать сообщения, информативные и экономные для себя, коллег и партнеров;;;;;Управлять количеством и периодами времени, затраченного на звонки;;Правильно принимать входящие звонки;;;;;;;Эффективно обрабатывать входящие звонки;;;Управлять количеством и периодами времени, затраченного на встречи;;;Правильно принимать посетителей;;;;;;Эффективно обрабатывать результаты встречи;;;;;Управлять количеством и периодами времени, затраченного на IM;;;;;;;Эффективно обрабатывать сообщения IM;;;Использовать делегирование как инструмент управления своим временем и объемом выполненных задач;;;;;;;Правильно управляет ресурсами различной квалификации;;;Использует обратную связь как инструмент мотивации и обучения сотрудников;;;Делегировать сотруднику, наиболее подходящему для выполнения задачи;;;;Легко включается в работу из стрессовой ситуации ;;;;;;Следует приоритетам при статусном и эмоциональном воздействии;;;Внимательность и концентрация;;Ответственность;;;Принимает решения;;;Скорость принятия решений;Обоснованность принимаемых решений;;;Результатоориентированность;;;;;;;;
E1;Разговор с начальником по сводному бюджету. Суть - сводный бюджет должен быть вчера, по регламенту. Где? Сделать и предоставить срочно! У тебя - 3 часа.;11:00;5;герой;уравновешенное;финдир;в гневе;2;1;-          Мне нужно время до вечера, иначе я не могу отвечать за корректность цифр.;нет;-;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;0;;E121;1;3;;1;0
E1;Разговор с начальником по сводному бюджету. Суть - сводный бюджет должен быть вчера, по регламенту. Где? Сделать и предоставить срочно! У тебя - 3 часа.;11:00;5;герой;уравновешенное;финдир;в гневе;2;2;-          Хорошо, я справлюсь за три часа;да;D1;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;0;;;;;;;1;;E122;5;7;;5;0
E1;Разговор с начальником по сводному бюджету. Суть - сводный бюджет должен быть вчера, по регламенту. Где? Сделать и предоставить срочно! У тебя - 3 часа.;11:00;5;герой;уравновешенное;финдир;в гневе;2;3;-          Уверен, что Крутько поможет мне сделать сводный бюджет в эти сроки;да;E1.2;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;;;;;;;1;;E123;4;6;;4;0
E1;Разговор с начальником по сводному бюджету. Суть - сводный бюджет должен быть вчера, по регламенту. Где? Сделать и предоставить срочно! У тебя - 3 часа.;11:00;5;финдир;в гневе;герой;уравновешенное;3;0;###############################################################################################################################################################################################################################################################;-;-;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E130;0;0;;0;0
E1;Разговор с начальником по сводному бюджету. Суть - сводный бюджет должен быть вчера, по регламенту. Где? Сделать и предоставить срочно! У тебя - 3 часа.;11:00;5;герой;уравновешенное;финдир;в гневе;3;1;-          Я понял, уже открываю файл;да;D1;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;E131;2;2;;2;0
E1;Разговор с начальником по сводному бюджету. Суть - сводный бюджет должен быть вчера, по регламенту. Где? Сделать и предоставить срочно! У тебя - 3 часа.;11:00;5;герой;уравновешенное;финдир;в гневе;3;2;-          Да, понял, уже зову Крутько;да;E1.2;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E132;1;1;;1;0
S1.1;Повторный звонок ФД по сводному бюджету через 5 мин. Входящий;11:05;0;финдир;-;герой;-;1;0;звук телефонного звонка;-;-;;Звонок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S1.110;0;0;;#Н/Д;#Н/Д
S1.1;Повторный звонок ФД по сводному бюджету через 5 мин. Входящий;11:05;0;герой;-;финдир;-;1;1;ответить;да;E1;;Звонок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S1.111;1;1;;1;0
S1.1;Повторный звонок ФД по сводному бюджету через 5 мин. Входящий;11:05;0;герой;-;финдир;-;1;2;не ответить;да;S1.2;;Звонок;F2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S1.112;1;2;;1;0
S1.2;Визит разгневанного ФД к герою через 10 мин.;11:15;10;финдир;в гневе;герой;уравновешенное;1;0;-          Мне что нужно тебя учить элементарным правилам коммуникаций? Ты почему на звонки руководителя не отвечаешь?  Я тебе все утро звоню!;-;-;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S1.210;0;0;;0;0
S1.2;Визит разгневанного ФД к герою через 10 мин.;11:15;10;герой;уравновешенное;финдир;в гневе;1;1;-          Раиса Романовна, прошу меня извинить, но у меня почему-то телефон не определяет номер.;нет;-;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S1.211;0;0;;0;0
S1.2;Визит разгневанного ФД к герою через 10 мин.;11:15;10;герой;уравновешенное;финдир;в гневе;1;2;-          Раиса Романовна, у меня сегодня не просто начался день, я проколол колесо и завертелось. Все с утра пошло не так. Сейчас соберусь и примусь за работу.;нет;-;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S1.212;0;0;;0;0
S1.2;Визит разгневанного ФД к герою через 10 мин.;11:15;10;герой;уравновешенное;финдир;в гневе;1;3;-          Раиса Романовна, я не знал, что это Вы. Я работаю и не хочу, чтобы меня отвлекали.;нет;-;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S1.213;0;0;;0;0
S1.2;Визит разгневанного ФД к герою через 10 мин.;11:15;10;герой;уравновешенное;финдир;в гневе;1;4;-          Раиса Романовна, налить  Вам кофе?;нет;-;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S1.214;0;0;;0;0
S1.2;Визит разгневанного ФД к герою через 10 мин.;11:15;10;финдир;в гневе;герой;уравновешенное;2;0;###############################################################################################################################################################################################################################################################;-;-;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S1.220;0;0;;0;0
S1.2;Визит разгневанного ФД к герою через 10 мин.;11:15;10;герой;уравновешенное;финдир;в гневе;2;1;-          Да я и сам подумываю уволиться. Вот только отпуск отгуляю. Да не кипятитесь вы так, сдам я ваш бюджет;да;D1;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;S1.221;0;1;;0;0
S1.2;Визит разгневанного ФД к герою через 10 мин.;11:15;10;герой;уравновешенное;финдир;в гневе;2;2;-          Успокойтесь, Раиса Романовна, я уже занимаюсь бюджетом. Он будет у Вас через два часа;да;D1;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;S1.222;1;1;;1;0
S1.2;Визит разгневанного ФД к герою через 10 мин.;11:15;10;герой;уравновешенное;финдир;в гневе;2;3;-          А в  чем я, собственно, виноват?  Что работаю и не отвлекаюсь?;нет;-;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;S1.223;0;1;;0;0
S1.2;Визит разгневанного ФД к герою через 10 мин.;11:15;10;финдир;в гневе;герой;уравновешенное;3;0;-          В чем ты виноват? Ты вообще помнишь о своих обязанностях? Ты задержал бюджет, не пришел на работу во время, игнорируешь общение с руководителем! Мне продолжать или тебе понятно, что для увольнения уже хватит?;-;-;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S1.230;0;0;;0;0
S1.2;Визит разгневанного ФД к герою через 10 мин.;11:15;10;герой;уравновешенное;финдир;в гневе;2;1;-          А я вам бюджет сегодня сдам и буду чист перед КЗОТом;да;D1;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;S1.221;0;1;;0;0
S1.2;Визит разгневанного ФД к герою через 10 мин.;11:15;10;герой;уравновешенное;финдир;в гневе;2;2;-          Хорошо, я понял, что не прав, приступаю к бюджету;да;D1;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;S1.222;1;1;;1;0
E1.2;Встреча с аналитиком 2 по бюджету. Суть - делегирую тебе работу по сводному бюджету, сейчас перешлю файл, аналитик - я не могу - я делаю предзентацию для ГД;11:05;20;герой;уравновешенное;аналитик 2;уравновешенное;1;1;-          Марина, есть срочная работа.;нет;-;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E1.211;0;0;;0;0
E1.2;Встреча с аналитиком 2 по бюджету. Суть - делегирую тебе работу по сводному бюджету, сейчас перешлю файл, аналитик - я не могу - я делаю предзентацию для ГД;11:05;20;герой;уравновешенное;аналитик 2;уравновешенное;1;2;-          Марина, бросай все, слушай меня. У нас два часа, чтобы выплыть из болота.;нет;-;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E1.212;0;0;;0;0
E1.2;Встреча с аналитиком 2 по бюджету. Суть - делегирую тебе работу по сводному бюджету, сейчас перешлю файл, аналитик - я не могу - я делаю предзентацию для ГД;11:05;20;герой;уравновешенное;аналитик 2;уравновешенное;1;3;-          Марина, мне срочно необходима твоя помощь.;нет;-;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E1.213;0;0;;0;0
E1.2;Встреча с аналитиком 2 по бюджету. Суть - делегирую тебе работу по сводному бюджету, сейчас перешлю файл, аналитик - я не могу - я делаю предзентацию для ГД;11:05;20;аналитик 2;уравновешенное;герой;уравновешенное;2;0;-          У меня еще очень много работы по презентации Босса. Я не могу взять еще одну задачу. Нельзя делать работу в таком темпе! Я вообще ничего не успею тогда.;-;-;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E1.220;0;0;;0;0
E1.2;Встреча с аналитиком 2 по бюджету. Суть - делегирую тебе работу по сводному бюджету, сейчас перешлю файл, аналитик - я не могу - я делаю предзентацию для ГД;11:05;20;герой;уравновешенное;аналитик 2;уравновешенное;2;1;-          Закончила? Теперь слушай сюда. Денежная нас обоих с тобой уволит, если мы ей бюджет не покажем через два часа. Так что, я сейчас перешлю тебе файл. Приступай к бюджету прямо сейчас;да;MS3;MS3 - отправляется фантастическим образом;Встреча;F3;F8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;E1.221;1;1;;1;0
E1.2;Встреча с аналитиком 2 по бюджету. Суть - делегирую тебе работу по сводному бюджету, сейчас перешлю файл, аналитик - я не могу - я делаю предзентацию для ГД;11:05;20;герой;уравновешенное;аналитик 2;уравновешенное;2;2;-          Да уж. Придется делать самому. Ты иди, время не теряй;да;D1;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E1.222;0;0;;0;0
E1.2;Встреча с аналитиком 2 по бюджету. Суть - делегирую тебе работу по сводному бюджету, сейчас перешлю файл, аналитик - я не могу - я делаю предзентацию для ГД;11:05;20;герой;уравновешенное;аналитик 2;уравновешенное;2;3;-          А мне что делать? Может быть, ты можешь отложить презентацию ненадолго? А через два часа снова ей займешься.;нет;-;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E1.223;0;0;;0;0
E1.2;Встреча с аналитиком 2 по бюджету. Суть - делегирую тебе работу по сводному бюджету, сейчас перешлю файл, аналитик - я не могу - я делаю предзентацию для ГД;11:05;20;аналитик 2;уравновешенное;герой;уравновешенное;3;0;-          Вы что, не помните как в прошлом году Босс кричал? Да если мы малейшую ошибку допустим, неприятностей будет намного больше! Он ведь, прежде всего, с Вас спросит, если я не успею.;-;-;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E1.230;0;0;;0;0
E1.2;Встреча с аналитиком 2 по бюджету. Суть - делегирую тебе работу по сводному бюджету, сейчас перешлю файл, аналитик - я не могу - я делаю предзентацию для ГД;11:05;20;герой;уравновешенное;аналитик 2;уравновешенное;3;1;-          Что ж, пусть спрашивает. Я тебе пересылаю сейчас файл по бюджету. Давай-ка берись за него. И приходи ко мне сразу, если будут вопросы;да;MS3;MS3 - отправляется фантастическим образом;Встреча;F3;F8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;E1.231;1;1;;1;0
E1.2;Встреча с аналитиком 2 по бюджету. Суть - делегирую тебе работу по сводному бюджету, сейчас перешлю файл, аналитик - я не могу - я делаю предзентацию для ГД;11:05;20;герой;уравновешенное;аналитик 2;уравновешенное;3;2;-          Да уж, ситуация... Значит так, зови сюда Трутнева, только быстро. Буду его подключать.;да;E1.3;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;E1.232;1;1;;1;0
